Título,Duración,Dificultad,Ingredientes
Falsos huevos de Pascua,50min,medio,"['HuevosDeCodorniz', 'Pan', 'Leche', 'Cebolla', 'AceiteDeOliva', 'Mejorana', 'Mostaza', 'CarnePicadaDeTernera', 'Huevo', 'YemaDeHuevo', 'Sal', 'Pimienta', 'Mantequilla', 'PanRallado']"
Panacota con semillas de amapola y coulis de frambuesa,3h 50min,medio,"['Panacota', 'Gelatina', 'NataLíquida', 'SemillasDeAmapola', 'Azúcar', 'CoulisDeFrambuesa', 'Frambuesas', 'AzúcarGlas']"
Tortilla de espárragos verdes y ajo de oso,30min,fácil,"['Ajo', 'Huevos', 'Leche', 'Sal', 'Pimienta', 'Zanahoria', 'EspárragosVerdes']"
Crema de zanahoria con naranja,45min,fácil,"['Cebolla', 'Zanahorias', 'Jengibre', 'Patata', 'AceiteVegetal', 'Naranjas', 'CaldoDeVerduras', 'Sal', 'Pimienta', 'Nata']"
Ragú de cordero,39min,fácil,"['Cebollas', 'Ajo', 'CarneDeCordero', 'AceiteDeOliva', 'VinoTinto', 'Romero', 'Laurel', 'Sal', 'Pimienta', 'Tomate', 'Cordero', 'Tomate', 'Tallarines']"
Pastelillos de huevo frito,53min,fácil,"['Huevos', 'Azúcar', 'AzúcarAvainillado', 'HarinaDeRepostería', 'Maicena', 'Sal', 'Azúcar', 'ZumoDeLimón', 'Albaricoques']"
Pavo con champiñones y arroz al cebollino,48min,fácil,"['Arroz', 'PechugaDePavo', 'Mantequilla', 'Champiñones', 'Cebolla', 'Guisantes', 'NataLíquida', 'CaldoDeVerduras', 'Estragón', 'ZumoDeLimón', 'Sal', 'Pimienta', 'Maicena', 'Cebollino']"
Pastelillos de carne,2h 8min,medio,"['HarinaDeRepostería', 'Mantequilla', 'Huevo', 'Sal', 'SetasDeOstra', 'Zanahoria', 'Apio', 'Cebolla', 'Ajo', 'Mantequilla', 'CarnePicadaDeTernera', 'Tomate', 'Azúcar', 'Tomillo', 'Limón', 'SalsaBarbacoa', 'CaldoGranulado', 'Pimienta', 'Guisantes', 'Maicena', 'Hojaldre', 'Huevo', 'SalsaWorcestershire', 'Sal', 'Harina', 'Mantequilla']"
Pasteles de Belém,58min,fácil,"['Hojaldre', 'Leche', 'Azúcar', 'AzúcarAvainillado', 'Sal', 'YemaDeHuevo', 'Huevo', 'Maicena', 'Mantequilla', 'CanelaMolida']"
Empanadas de pollo,3h 6min,medio,"['Huevo', 'HarinaDeRepostería', 'Sal', 'AceiteDeGirasol', 'Leche', 'Cúrcuma', 'Pollo', 'Cilantro', 'Almendra', 'Pasas', 'PechugaDePollo', 'Cebolla', 'Ajo', 'AceiteDeOliva', 'Curry', 'Sal', 'Pimienta', 'Nata', 'HarinaDeRepostería', 'Huevo']"
Pasta con salsiccia,28min,fácil,"['Pasta', 'Queso', 'Parmesano', 'Perejil', 'Cebolla', 'AceiteDeOliva', 'Salchichas', 'Setas', 'Calabaza', 'Sal', 'Pimienta']"
Éclairs,2h 21min,medio,"['Gelatina', 'NataLíquida', 'Natillas', 'Azúcar', 'Leche', 'Pasta', 'Mantequilla', 'HarinaDeRepostería', 'Sal', 'Huevos', 'Chocolate']"
Bigos,1h 44min,fácil,"['CarneDeCerdo', 'Panceta', 'HarinaDeRepostería', 'Col', 'Cebolla', 'Chucrut', 'CiruelasPasas', 'Setas', 'Calabaza', 'Mantequilla', 'Tomate', 'CaldoGranulado', 'Laurel', 'Mejorana', 'Champiñones', 'Salchicha', 'Sal', 'Pimienta', 'Perejil', 'NataAgria']"
Caramelos blandos de nata con flor de sal,8h 27min,fácil,"['ChocolateBlanco', 'LecheCondensada', 'AzúcarMoreno', 'Mantequilla', 'FlorDeSal']"
Barritas de coco y chocolate,8h 25min,fácil,"['LecheDeCoco', 'Azúcar', 'AceiteDeCoco', 'Coco', 'EsenciaDeRon', 'ChocolateNegro', 'ChocolateConLeche']"
Albóndigas de pescado en salsa de tomate,2h 6min,fácil,"['Bacalao', 'CanelaMolida', 'Comino', 'Pimienta', 'Sal', 'Pan', 'Cebolletas', 'Patatas', 'Limón', 'ZumoDeLimón', 'PerejilPicado', 'NataLíquida', 'Huevo', 'Cebolla', 'Ajo', 'AceiteDeOliva', 'Tomate', 'Azúcar', 'TomateTrituradoConAlbahaca', 'CaldoDeVerduras', 'Orégano', 'Maicena']"
Panecillos de chocolate,1h 40min,fácil,"['Leche', 'Levadura', 'Levadura', 'Azúcar', 'Mantequilla', 'Huevo', 'Nata', 'Harina', 'Sal', 'Chocolate', 'Mantequilla', 'YemaDeHuevo']"
Pan de pueblo en fuente de barro,2h 38min,fácil,"['SueroDeMantequilla', 'Levadura', 'HarinaDeRepostería', 'HarinaDeEspelta', 'HarinaDeCenteno', 'JarabeDeRemolacha', 'AceiteVegetal', 'Sal', 'Harina']"
Tarta de sidra,3h,fácil,"['Mantequilla', 'Azúcar', 'AzúcarAvainillado', 'Huevo', 'HarinaDeRepostería', 'Levadura', 'Manzanas', 'ZumoDeLimón', 'Sidra', 'Natillas', 'NataLíquida', 'Mantequilla', 'Harina', 'Canela']"
Pan de bolas al ajo,1h 20min,fácil,"['Parmesano', 'Ajo', 'HierbasAromáticas', 'Sal', 'SueroDeMantequilla', 'Mantequilla', 'Levadura', 'HarinaDeRepostería', 'Sal', 'Azúcar', 'Bicarbonato', 'Harina', 'AceiteDeOliva']"
Bizcocho de mantequilla,1h 20min,fácil,"['Leche', 'Levadura', 'Azúcar', 'Mantequilla', 'Harina', 'Huevos', 'Sal', 'CanelaMolida', 'Almendra', 'Mantequilla']"
Bizcocho cebra,1h 45min,fácil,"['Huevos', 'Sal', 'Azúcar', 'AzúcarAvainillado', 'AceiteDeGirasol', 'Leche', 'AguaConGas', 'HarinaDeRepostería', 'Levadura', 'Cacao', 'ChocolateNegro', 'ChocolateBlanco', 'Mantequilla', 'Harina']"
Pollo a la mantequilla al estilo indio,2h 39min,fácil,"['Ajo', 'Jengibre', 'GaramMasala', 'Sal', 'YogurGriego', 'PechugaDePollo', 'Chalote', 'Mantequilla', 'CominoMolido', 'Pimienta', 'Guindilla', 'TomateTriturado', 'ZumoDeLimón', 'LecheDeCoco', 'Tomate']"
Pavo con salsa Metaxa,35min,fácil,"['Champiñones', 'Calabacín', 'Pimienta', 'Sal', 'PechugaDePavo', 'Cebollas', 'AceiteDeOliva', 'PimentónPicante', 'Orégano', 'ArrozBasmati', 'CaldoDeAve', 'NataLíquida', 'Metaxa', 'TomateCondimentoParaGyros', 'NataAgria']"
Pastel de lentejas,1h 39min,fácil,"['ArrozIntegral', 'Linaza', 'Lentejas', 'LentejasPardinas', 'Cebolla', 'Ajo', 'Zanahorias', 'Champiñones', 'AceiteVegetal', 'Tomillo', 'Sal', 'Pimienta', 'Tomate', 'SalsaDeSoja', 'Mantequilla']"
Tortitas de plátano,35min,fácil,"['Huevos', 'Sal', 'Avena', 'Plátanos', 'SueroDeMantequilla', 'Levadura', 'CanelaMolida', 'Mantequilla']"
Rollitos de pavo a las hierbas con puré de lentejas,42min,fácil,"['PechugaDePavo', 'Hierbas', 'Queso', 'Mostaza', 'Sal', 'Pimienta', 'Brócoli', 'Lentejas', 'NataLíquida', 'Tomate', 'ZumoDeLimón', 'Comino']"
Mermelada de calabaza,35min,fácil,"['PulpaDeCalabaza', 'OrejonesDeAlbaricoque', 'Vainilla', 'ZumoDeNaranja', 'ZumoDeLimón', 'Azúcar']"
Panecillos de calabaza,2h 53min,medio,"['Calabaza', 'Leche', 'Levadura', 'Azúcar', 'Mantequilla', 'Harina', 'Sal', 'CanelaMolida', 'NuezMoscada', 'ClavoMolido', 'Harina', 'YemaDeHuevo']"
Fricasé de pollo,42min,fácil,"['Arroz', 'CaldoDePollo', 'Verduras', 'PechugaDePollo', 'Sal', 'Pimienta', 'Zanahorias', 'EspárragosBlancos', 'Guisantes', 'Mantequilla', 'HarinaDeRepostería', 'NataLíquida', 'ZumoDeLimón']"
Guiso de col con albóndigas,36min,fácil,"['Cebolla', 'CarnePicada', 'CominoMolido', 'Sal', 'Pimienta', 'Guindilla', 'PimentónPicante', 'Col', 'Patatas', 'Carne', 'NataAgria']"
Gratinado de boniato,1h 17min,medio,"['Cebolla', 'Apionabo', 'Castañas', 'Tomillo', 'AceiteVegetal', 'Sal', 'Pimienta', 'Boniatos', 'Nabo', 'Leche', 'QuesoFeta', 'Mantequilla', 'Perejil']"
Tarta de chocolate con frambuesas,3h 42min,medio,"['Huevos', 'Sal', 'ChocolateNegro', 'Mantequilla', 'Azúcar', 'HarinaDeRepostería', 'Cacao', 'Levadura', 'Frambuesas', 'Gelatina', 'Mascarpone', 'Azúcar', 'NataLíquida', 'ColoranteRojo', 'ChocolateNegro', 'AceiteDeCoco', 'Frambuesas', 'Mantequilla', 'Harina']"
Mermelada de fresa,35min,fácil,"['Fresas', 'Azúcar', 'ZumoDeLimón']"
Salsa de chocolate que se endurece sobre el helado,9min,fácil,"['ChocolateNegro', 'ChocolateConLeche', 'AceiteDeCoco']"
Risotto de verduras,34min,fácil,"['Queso', 'Parmesano', 'Chalote', 'Zanahoria', 'Colinabo', 'AceiteDeOliva', 'Arroz', 'Risotto', 'CaldoDeVerduras', 'Sal', 'Pimienta', 'Guisantes', 'Mantequilla']"
Kumpir al estilo griego,1h 5min,fácil,"['Ajo', 'Limón', 'Tomillo', 'YogurDeSoja', 'Sal', 'Pimienta', 'Tomates', 'Pepino', 'Cebolla', 'AceitunasNegras', 'Si', 'Lo', 'Desea', 'AceiteDeOliva', 'Sal', 'Pimienta', 'Berenjenas', 'Ajo', 'Sal', 'ZumoDeLimón', 'CayenaMolida', 'Orégano', 'Pimienta', 'Patatas', 'Sal']"
Salsa boloñesa blanca,34min,fácil,"['Espaguetis', 'Queso', 'Parmesano', 'Chalotes', 'Ajo', 'Salvia', 'Apionabo', 'AceiteDeOliva', 'CarnePicada', 'SemillasDeHinojoMolidas', 'Sal', 'Pimienta', 'CaldoDeVerduras', 'Leche', 'Mascarpone']"
Licor de mango,5min,fácil,"['Azúcar', 'AzúcarAvainillado', 'Mangos', 'ZumoDeLimón', 'Ron']"
Batido de café con leche,5min,fácil,"['Azúcar', 'Café', 'Cacao', 'Hielo', 'Leche']"
Batido de banana split,4h 10min,fácil,"['ChocolateConPraliné', 'LecheCondensada', 'NataLíquida', 'Sal', 'Mascarpone', 'Leche', 'Plátanos', 'Miel', 'ChocolateNubesDeAzúcar', 'Platanitos', 'Gelatina', 'Chocolate']"
Polos de sangría,6h 30min,fácil,"['PoloConPalito', 'VinoTinto', 'Melocotón', 'ZumoDeNaranja', 'ZumoDeLimón', 'JarabeDeFrambuesa', 'LicorDeNaranja']"
Salmón con costra de pretzel y acelgas,53min,medio,"['Mantequilla', 'HierbasVariadasPicadas', 'Limón', 'Sal', 'Salmón', 'Acelgas', 'Cebolla', 'Ajo', 'NataLíquida', 'CaldoDeVerduras', 'ZumoDeLimón', 'NuezMoscada', 'Pimienta', 'Maicena', 'AceiteDeOliva']"
Merluza marinada con patatas al limón y cilantro,1h 25min,medio,"['Pescado', 'Merluza', 'Cilantro', 'Guindilla', 'Ajo', 'Jengibre', 'Limón', 'AceiteDeOliva', 'SemillasDeCilantroMolidas', 'Patatas', 'Sal', 'ZumoDeLimón', 'Horno', 'ZumoDeLimón', 'Sal', 'Limón']"
Minihamburguesas con salsa de colinabo,1h,fácil,"['Pan', 'Cebollas', 'CarnePicada', 'Mostaza', 'Huevo', 'Sal', 'Pimienta', 'PimentónPicante', 'Colinabos', 'Sal', 'Mantequilla', 'HarinaDeRepostería', 'NataLíquida', 'ZumoDeLimón', 'Pimienta', 'Aceite']"
Pesto de albahaca genovés,20min,fácil,"['Piñones', 'Albahaca', 'Ajo', 'Parmesano', 'Sal', 'AceiteDeOliva', 'Pimienta', 'AceiteDeOliva']"
Crema de guisantes,36min,fácil,"['Menta', 'Perejil', 'Tirabeques', 'Cebolla', 'Ajo', 'Mantequilla', 'Guisantes', 'Sal', 'Pimienta', 'NuezMoscada', 'CaldoDeVerduras', 'NataLíquida', 'Pan']"
Blinis con crema de aguacate y feta,25min,fácil,"['Blinis', 'Blinis', 'Leche', 'Miel', 'Levadura', 'HarinaDeRepostería', 'HarinaDeTrigoSarraceno', 'Huevos', 'Tomates', 'Aguacate', 'Ajo', 'ZumoDeLimón', 'Sal', 'Pimienta', 'QuesoFeta', 'Aceite']"
Crema de hierbas vegana,2h 15min,fácil,"['PipasDeGirasol', 'Perejil', 'Cebolletas', 'Calabacín', 'Ajo', 'ZumoDeLimón', 'Sal', 'Pimienta', 'AceiteVegetal']"
Ensalada de espárragos con fresas,35min,fácil,"['Anacardos', 'Queso', 'Parmesano', 'Menta', 'Miel', 'AceiteDeOliva', 'Sal', 'EspárragosVerdes', 'EspárragosBlancos', 'Fresas', 'Pimienta']"
Tortitas de brócoli con salsa de tomate,47min,fácil,"['Tomates', 'Cebolla', 'AceiteVegetal', 'Vinagre', 'Mostaza', 'Sal', 'Azúcar', 'Pimienta', 'Sal', 'Brócoli', 'Coliflor', 'Parmesano', 'Pan', 'SémolaDeTrigo', 'Huevo', 'Pimienta', 'Aceite']"
Mermelada de tomate,1h 30min,fácil,"['VinagreBalsámico', 'AzúcarMoreno', 'Cebollas', 'Tomates', 'Sal', 'Enebrinas', 'Pimienta', 'Guindilla']"
Puré Labskaus con huevo frito y rollitos de arenque,49min,fácil,"['Patatas', 'Sal', 'Cebollas', 'Mantequilla', 'CornedBeef', 'Pepinillos', 'CaldoDePescadoGranulado', 'PepinillosEnVinagre', 'Remolacha', 'Pimienta', 'AceiteDeGirasol', 'Huevos', 'Rollmops', 'PepinillosEnVinagre']"
Pastel de chocolate y alubias con crema de fresa,2h 10min,fácil,"['AlubiasBlancas', 'Huevos', 'Quark', 'Azúcar', 'Cacao', 'Levadura', 'Guindilla', 'Fresa', 'NataLíquida', 'AzúcarGlas', 'Fresas', 'Mantequilla', 'Harina']"
Chapata,1h 55min,fácil,"['Azúcar', 'Levadura', 'HarinaDeRepostería', 'AceiteDeOliva', 'Sal', 'SémolaDeTrigo', 'SémolaDeTrigo']"
Pan de suero de mantequilla con masa madre,3h 10min,fácil,"['SueroDeMantequilla', 'Levadura', 'Miel', 'HarinaDeRepostería', 'HarinaDeCenteno', 'Sal']"
Fudge de café,1h 35min,fácil,"['Avellanas', 'HarinaDeRepostería', 'Levadura', 'Cacao', 'Caramelos', 'Huevos', 'Mantequilla', 'AzúcarMoreno', 'CaféEspresso', 'Mantequilla', 'AzúcarGlas']"
Rollitos de chocolate y vainilla,2h 35min,medio,"['Vainilla', 'Leche', 'Azúcar', 'Levadura', 'AceiteDeGirasol', 'Harina', 'Mantequilla', 'Yema', 'Sal', 'Cacao', 'Mantequilla', 'HarinaDeRepostería', 'Leche', 'Yema', 'Huevo']"
Muffins-Receta básica,35min,fácil,"['Mantequilla', 'Azúcar', 'Huevos', 'SueroDeMantequilla', 'HarinaDeRepostería', 'Levadura', 'Sal', 'Magdalenas']"
Pan con mozzarella y panceta,5h 5min,medio,"['Pan', 'Pan', 'HarinaIntegralDeTrigo', 'HarinaDeCenteno', 'Levadura', 'Sal', 'Especias', 'Pan', 'Panceta', 'Mozzarella', 'Rallada', 'Mantequilla', 'Mantequilla', 'Perejil', 'Cebollino', 'Ajo', 'Sal', 'Pimienta', 'HarinaDeRepostería']"
Mousse de chocolate,2h 20min,fácil,"['Huevos', 'Azúcar', 'Sal', 'Nata', 'ChocolateNegro']"
Muffins de pasta con verdura,55min,fácil,"['Pasta', 'QuesoGouda', 'Zanahoria', 'Calabacín', 'AceiteDeOliva', 'JamónCocido', 'Tomate', 'Nata', 'Huevos', 'HierbasAromáticasPicadas', 'Sal', 'Pimienta', 'Aceite', 'Mantequilla']"
Gulash de salchicha,30min,fácil,"['Chalotes', 'Ajo', 'AceiteDeOliva', 'Miel', 'Tomate', 'VinagreDeManzana', 'SalsaDeSoja', 'TomateTriturado', 'Sal', 'Pimienta', 'Curry', 'ZumoDePiña', 'Salchicha']"
Sopa de coliflor con pesto de hierbas,43min,fácil,"['Pesto', 'Ajo', 'Queso', 'Parmesano', 'HierbasDePrimavera', 'Sal', 'ZumoDeLimón', 'Pimienta', 'AceiteDeOliva', 'Cebolla', 'Ajo', 'AceiteDeOliva', 'Coliflor', 'Patata', 'CaldoDeVerduras', 'Sal', 'Pimienta', 'NataLíquida', 'Pan']"
Galletas Amerikaner con variaciones,45min,fácil,"['Mantequilla', 'Azúcar', 'AzúcarAvainillado', 'AromaDeMantequillaYVainilla', 'Sal', 'Huevos', 'Leche', 'HarinaDeRepostería', 'Levadura']"
Berlinas,2h 53min,fácil,"['Leche', 'Azúcar', 'Levadura', 'Mantequilla', 'Harina', 'Sal', 'Huevo', 'AzúcarAvainillado', 'Azúcar', 'Azúcar', 'ZumoDeGrosellas', 'ColoranteRojo', 'Chocolate', 'ChocolateNegro', 'Harina', 'AceiteVegetal', 'CrocanteDeAvellana']"
Zumo de manzana y zanahoria con melisa,10min,fácil,"['Manzanas', 'Zanahorias', 'AceiteDeOliva', 'ZumoDeNaranja', 'ZumoDeLimón', 'Miel']"
Cupcakes Red Velvet,1h 25min,fácil,"['Azúcar', 'HarinaDeRepostería', 'Maicena', 'Bicarbonato', 'Cacao', 'AzúcarAvainillado', 'Mantequilla', 'Huevos', 'SueroDeMantequilla', 'VinagreDeManzana', 'Sal', 'ColoranteRojo']"
"Pollo con salsa de cacahuete, verduras y puré de boniato",1h 4min,medio,"['GuindillasPicantes', 'Jengibre', 'Ajo', 'Lima', 'AceiteVegetal', 'Sal', 'Pollo', 'Coliflor', 'Brócoli', 'PimientoRojo', 'PechugaDePollo', 'Chalote', 'AceiteVegetal', 'Cacahuete', 'Fina', 'LecheDeCoco', 'SalsaDeSoja', 'Boniatos', 'Sal', 'LecheDeCoco', 'Curry']"
Verduras de primavera con salsa de queso fresco,44min,fácil,"['Colinabo', 'Zanahorias', 'Patatas', 'Brócoli', 'Sal', 'Salsa', 'Maicena', 'Leche', 'Queso', 'CaldoDeVerduras', 'Sal', 'Pimienta']"
Ensalada de garbanzos y feta,20min,fácil,"['Ensalada', 'Garbanzos', 'Perejil', 'Menta', 'Tirabeques', 'TomatesCherry', 'QuesoFeta', 'PipasDeGirasol', 'Lechuga', 'Cebolla', 'AceiteDeOliva', 'VinagreDeVinoBlanco', 'MostazaDulce', 'Sal', 'Pimienta', 'PimentónPicante']"
Tarta verde de invierno,1h 30min,fácil,"['HarinaDeRepostería', 'Sal', 'QuarkDesnatado', 'Mantequilla', 'Parmesano', 'Brócoli', 'ColesDeBruselas', 'Sal', 'Guisantes', 'Cebolletas', 'NataAgria', 'Leche', 'Huevos', 'Pimienta', 'Sal', 'HarinaDeRepostería', 'Mantequilla']"
Ensalada tibia de chirivía con brochetas de pescado,45min,medio,"['Chirivías', 'Sal', 'Rabanitos', 'Cebolletas', 'CaldoDeVerduras', 'VinagreDeVinoBlanco', 'AceiteVegetal', 'Pimienta', 'Abadejo', 'ZumoDeLimón', 'Perejil', 'Berros']"
Sopa de apio con coco y panceta,46min,fácil,"['Cebolla', 'Ajo', 'Jengibre', 'AceiteVegetal', 'Apio', 'Apio', 'CaldoDeVerduras', 'LecheDeCoco', 'ZumoDeLima', 'Comino', 'Sal', 'Pimienta', 'Perejil', 'Panceta']"
Pollo con pimientos y arroz,32min,medio,"['Perejil', 'Cebolla', 'Mantequilla', 'PimientosRojos', 'PechugaDePollo', 'PimentónDulce', 'Sal', 'Pimienta', 'Arroz', 'CaldoDeVerduras', 'Maicena', 'NataLíquida', 'Ajvar', 'Tomate']"
Pescado al curry con mango y cilantro,1h 2min,medio,"['CebollaDulce', 'Ajo', 'Jengibre', 'AceiteDeGirasol', 'CaldoDeVerduras', 'LecheDeCoco', 'SalsaDeSoja', 'LomoDeBacalao', 'Sal', 'Pimienta', 'Mango', 'PimientoAmarillo', 'PimientoVerde', 'Guisantes', 'ZumoDeLima', 'Cúrcuma', 'Comino', 'Maicena', 'Cilantro', 'Guindilla', 'Sésamo']"
Creps con crema de chocolate y fruta,55min,fácil,"['Naranjas', 'Leche', 'Huevos', 'HarinaDeRepostería', 'Maicena', 'Sal', 'AzúcarAvainillado', 'Plátanos', 'Chocolate', 'Aceite']"
Creps saladas con jamón y queso,45min,fácil,"['QuesoGouda', 'Leche', 'Huevos', 'HarinaDeRepostería', 'Maicena', 'Sal', 'Queso', 'JamónCocido', 'Aceite']"
Verduras al vapor con quinoa,45min,fácil,"['Quark', 'Hierbas', 'HierbasPicadas', 'Cebolletas', 'Ajo', 'QuarkDesnatado', 'Mostaza', 'Aceite', 'Linaza', 'Sal', 'Pimienta', 'Zanahorias', 'RemolachasCocidas', 'Puerros', 'Guisantes', 'Sal', 'Pimienta', 'Quinoa', 'CaldoDeVerduras', 'Comino', 'AceiteDeOliva', 'PipasDeGirasol']"
Pastel de Reyes (Gallette des Rois),2h 35min,medio,"['Pasas', 'Leche', 'Azúcar', 'AzúcarAvainillado', 'Levadura', 'Vainilla', 'HarinaDeRepostería', 'Mantequilla', 'Huevo', 'Sal', 'AlmendraEscaldada', 'HarinaDeRepostería', 'Mantequilla', 'Leche', 'Yema', 'Huevo', 'Almendra']"
Asado de cerdo con col y albóndigas de pan,3h 9min,fácil,"['AsadoDeCerdo', 'CarneDeCerdo', 'Sal', 'Pimienta', 'Cebollas', 'Zanahorias', 'Mejorana', 'Alcaravea', 'CervezaDeTrigo', 'Miel', 'CervezaNegra', 'Pan', 'Cebolla', 'Perejil', 'Leche', 'Sal', 'NuezMoscada', 'Huevos', 'Mantequilla', 'AceiteVegetal', 'PanRallado', 'Col', 'Col', 'Cebolla', 'Perejil', 'Tomillo', 'Panceta', 'Mantequilla', 'Sal', 'Pimienta', 'NuezMoscada', 'Alcaravea', 'CervezaNegra']"
Codillo a la miel y mostaza con ensalada de rabanitos,3h 50min,fácil,"['Codillo', 'CodillosDeCerdo', 'Sal', 'Mostaza', 'Miel', 'VinagreDeManzana', 'SalsaDeSoja', 'AceiteDeOliva', 'Ensalada', 'Rabanitos', 'Rabanitos', 'Apio', 'Perejil', 'VinagreDeManzana', 'AceiteDeOliva', 'Mostaza', 'Nata', 'Sal', 'Pimienta', 'Alcaparras']"
Ñoquis a la alemana con ragú de setas,1h 42min,fácil,"['Patatas', 'HarinaDeRepostería', 'Maicena', 'Yema', 'Huevo', 'Sal', 'NuezMoscada', 'Tomillo', 'Mantequilla', 'AceiteVegetal', 'HarinaDeRepostería', 'SetasDeCardo', 'Champiñones', 'SetasDeOstra', 'Perejil', 'Cebolla', 'Mantequilla', 'Panceta', 'NataLíquida', 'CaldoDeVerduras', 'Maicena', 'Sal', 'Pimienta']"
Ensalada de salchicha con pretzels,1h 45min,fácil,"['Azúcar', 'Levadura', 'Mantequilla', 'HarinaDeRepostería', 'Sal', 'Bicarbonato', 'Sal', 'HarinaDeRepostería', 'SalchichasBlancas', 'Cebollino', 'Tomillo', 'Cebolla', 'Manzana', 'Pepinillos', 'AceiteVegetal', 'VinagreDeFruta', 'AceiteDeOliva', 'MostazaDulce', 'Pimienta']"
Bollos al vapor con mantequilla de semillas de amapola y salsa de vainilla,1h 12min,fácil,"['Leche', 'Azúcar', 'Levadura', 'Mantequilla', 'Huevos', 'HarinaDeRepostería', 'CompotaDeCiruela', 'Vainilla', 'Maicena', 'Leche', 'Azúcar', 'Huevo', 'SemillasDeAmapola', 'Azúcar', 'Mantequilla']"
Risotto de setas al vacío con chips de parmesano,1h 53min,medio,"['Queso', 'Parmesano', 'Setas', 'Calabaza', 'Tomillo', 'Chalotes', 'Ajo', 'AceiteDeOliva', 'Arroz', 'Risotto', 'VinoBlanco', 'CaldoDeVerduras', 'Laurel', 'Mantequilla', 'AceiteVegetal', 'Sal', 'Pimienta']"
Pechuga de pollo de corral al vacío con hierbas y pisto a la canela,3h 50min,medio,"['PechugaDePollo', 'Limón', 'Albahaca', 'Orégano', 'Romero', 'Ajo', 'AceiteDeOliva', 'Laurel', 'Mantequilla', 'AceiteVegetal', 'Pisto', 'Cebolla', 'Ajo', 'PimientosRojos', 'Calabacín', 'Berenjena', 'Tomates', 'Tomillo', 'AceiteVegetal', 'Canela', 'Tomate', 'CaldoDeVerduras', 'Sal', 'Pimienta']"
Solomillos de cordero al vacío con berenjenas y tomates cherry,2h 40min,medio,"['SolomillosDeCordero', 'AceiteDeOliva', 'SemillasDeHinojo', 'SemillasDeCilantro', 'Sal', 'Pimienta', 'Salvia', 'Tomillo', 'Laurel', 'PerejilPicado', 'Berenjenas', 'Sal', 'Pimienta', 'AceiteDeOliva', 'Albahaca', 'Tomates', 'Aceite', 'Romero', 'Salvia', 'TomatesCherry', 'Ajo', 'AceiteDeOliva']"
Salmón al vacío ahumado con tirabeques y rábano picante,3h 55min,medio,"['Salmón', 'Tirabeques', 'Limón', 'Cebolla', 'AceiteVegetal', 'Mantequilla', 'Sal', 'Pimienta', 'Perejil', 'RábanoPicante', 'Cebolla', 'Panceta', 'AceiteVegetal', 'Laurel', 'Pimentón', 'Clavos', 'Enebrinas', 'Semillas', 'Alcaravea', 'SemillasDeHinojo', 'SemillasDeCilantro', 'AceiteDeOliva']"
Manzana al vacío con sabayón de cerveza de trigo,1h 12min,fácil,"['ManzanasDulces', 'Vainilla', 'Pasas', 'Cardamomo', 'PimientaNegra', 'HojaDeLaurel', 'Azúcar', 'Canela', 'Enebrinas', 'Pimienta', 'Vinagre', 'ZumoDeManzana', 'Sabayón', 'CervezaDeTrigo', 'Azúcar', 'YemaDeHuevo']"
Kétchup ahumado con beicon,0min,fácil,"['Beicon', 'Cebolla', 'Ajo', 'Tomates', 'Tomate', 'Azúcar', 'CardamomoMolido', 'Pimienta', 'PimentónPicante', 'Pimienta', 'NuezMoscada', 'Canela', 'Sal', 'VinagreDeManzana', 'ZumoDeRemolacha', 'Sal']"
Salsa para brochetas,41min,fácil,"['Cebolla', 'PimientoRojo', 'PimientoVerde', 'PepinillosEnVinagre', 'Ajo', 'Mantequilla', 'Azúcar', 'Tomate', 'VinagreDeManzana', 'TomateTriturado', 'Piña', 'Pimentón', 'Pimienta', 'Tabasco', 'Mostaza', 'Sal']"
Chutney de mango,1h 36min,fácil,"['AzúcarMoreno', 'Cebollas', 'Ajo', 'Guindilla', 'Sal', 'Manzana', 'Mango', 'VinagreDeManzana']"
Salsa al curry india,40min,fácil,"['Jengibre', 'Guindilla', 'Mango', 'ZumoDePiña', 'Curry', 'Pimienta', 'Mostaza', 'AzúcarMoreno', 'Sal', 'ZumoDeLima', 'Huevo', 'AceiteDeGirasol', 'Nata']"
Salsa cóctel,40min,fácil,"['Huevo', 'ZumoDeLimón', 'Mostaza', 'Sal', 'Pimienta', 'Azúcar', 'AceiteDeGirasol', 'Naranja', 'PimentónPicante', 'ZumoDePiña', 'ZumoDeNaranja', 'Tomate']"
Salsa César,45min,fácil,"['Romero', 'Tomillo', 'Ajo', 'Parmesano', 'Alcaparras', 'Anchoa', 'AceiteDeOliva', 'Sal', 'Pimienta', 'Azúcar', 'ZumoDeLimón', 'Huevo', 'MostazaDeDijon', 'AceiteDeGirasol', 'Nata']"
Sopa de guisantes,10h 32min,fácil,"['Guisantes', 'Cebollas', 'Aceite', 'Zanahorias', 'Patatas', 'Apio', 'JamónSerrano', 'Puerro', 'Laurel', 'CaldoDeCarne', 'SalchichasDeCerdo', 'Sal', 'Pimienta']"
Pan de masa madre,3h 10min,medio,"['Levadura', 'HarinaDeRepostería', 'HarinaIntegralDeCenteno', 'NataAgria', 'Sal', 'Harina']"
